day,demand_MWh
04/8/2019,9712621
04/7/2019,8934192
04/6/2019,9109630
04/5/2019,9683533
04/4/2019,9703956
04/3/2019,9784983
04/2/2019,10119507
04/1/2019,10154065
03/31/2019,9131629
03/30/2019,8970242
03/29/2019,9455076
03/28/2019,9764510
03/27/2019,9934463
03/26/2019,9897775
03/25/2019,9751655
03/24/2019,9053844
03/23/2019,9281450
03/22/2019,9877966
03/21/2019,9946032
03/20/2019,10060713
03/19/2019,10128860
03/18/2019,10114286
03/17/2019,9358966
03/16/2019,9413106
03/15/2019,9823847
03/13/2019,10124097
03/12/2019,10260478
03/11/2019,10180258
03/10/2019,9281542
03/9/2019,9918225
03/8/2019,10686483
03/7/2019,11333370
03/6/2019,12000656
03/5/2019,12160835
03/4/2019,12056031
03/3/2019,10522778
03/2/2019,10291018
03/1/2019,10846292
02/28/2019,10945735
02/27/2019,10840403
02/26/2019,10940366
02/25/2019,11052714
02/24/2019,10059343
02/23/2019,10311076
02/22/2019,10915976
02/21/2019,11094875
02/20/2019,11611195
02/19/2019,11799705
02/18/2019,11259922
02/17/2019,10417684
02/16/2019,10364235
02/15/2019,10567149
02/14/2019,10875804
02/13/2019,11189304
02/12/2019,11100828
02/11/2019,11155739
02/10/2019,10991465
02/9/2019,11374896
02/8/2019,11445238
02/7/2019,10692652
02/6/2019,10514123
02/5/2019,10457317
02/4/2019,10369507
02/3/2019,9818374
02/2/2019,10580411
02/1/2019,11780888
01/31/2019,12903767
01/30/2019,12955339
01/29/2019,12210418
01/28/2019,11535148
01/27/2019,10863494
01/26/2019,11244729
01/25/2019,11822015
01/24/2019,11458859
01/23/2019,11457420
01/22/2019,12137758
01/21/2019,12682831
01/20/2019,11181315
01/19/2019,10589689
01/18/2019,10871065
01/17/2019,11342758
01/16/2019,11612913
01/15/2019,11816005
01/14/2019,11736624
01/13/2019,10847540
01/12/2019,10888790
01/11/2019,11586747
01/10/2019,11620701
01/9/2019,10934804
01/8/2019,10415925
01/7/2019,10524533
01/6/2019,9863402
01/5/2019,10113100
01/4/2019,10848226
01/3/2019,11083646
01/2/2019,11043478
01/1/2019,9899602
12/31/2018,10263157
12/30/2018,10177566
12/29/2018,10290767
12/28/2018,10451978
12/27/2018,10513788
12/26/2018,10401707
12/25/2018,9689135
12/24/2018,10176389
12/23/2018,10201013
12/22/2018,10351388
12/21/2018,10744161
12/20/2018,10882868
12/19/2018,11020431
12/18/2018,11097062
12/17/2018,10830817
12/16/2018,10123528
12/15/2018,10239936
12/14/2018,10986573
12/13/2018,11106694
12/12/2018,11532623
12/11/2018,11865729
12/10/2018,11869568
12/9/2018,11241473
12/8/2018,11210679
12/7/2018,11468516
12/6/2018,11766532
12/5/2018,11686449
12/4/2018,11283075
12/3/2018,10647248
12/2/2018,9698898
12/1/2018,9897093
11/30/2018,10469174
11/29/2018,11133129
11/28/2018,11613363
11/27/2018,11485470
11/26/2018,10927544
11/25/2018,9648969
11/24/2018,9741604
11/23/2018,9993303
11/22/2018,9926629
11/21/2018,10867859
11/20/2018,10699530
11/19/2018,10662043
11/18/2018,9980731
11/17/2018,10098860
11/16/2018,10873724
11/15/2018,11440741
11/14/2018,11513964
11/13/2018,11345077
11/12/2018,10926542
11/11/2018,9263149
11/10/2018,10268518
11/9/2018,10471743
11/8/2018,9927573
11/7/2018,9843347
11/6/2018,10104351
11/5/2018,9950147
11/4/2018,9536642
11/3/2018,9209571
11/2/2018,9797427
11/1/2018,9265680
10/31/2018,9326369
